team,type,subtype,session,start_frame,start_time,end_frame,end_time,from,to,start_x,start_y,end_x,end_y,phase
Home,RECOVERY,INTERCEPTION,1,6059,605.9,6059,605.9,A05,,0.68,0.13,,,1
Away,CHALLENGE,GROUND-LOST,1,6060,606.0,6060,606.0,B22,,0.68,0.13,,,1
Home,PASS,PASS,1,6062,606.2,6076,607.6,A05,A02,0.68,0.13,0.75,0.11,1
Home,PASS,PASS,1,6078,607.8,6085,608.5,A02,A01,0.75,0.1,0.69,0.02,1
Home,BALL OUT,BALL OUT,1,6085,608.5,6102,610.2,A01,,0.69,0.02,0.73,-0.01,1
Away,SET PIECE,THROW IN,1,6180,618.0,6180,618.0,B18,,,,,,1
Away,PASS,PASS,1,6180,618.0,6195,619.5,B18,B17,0.7,0.0,0.55,0.11,1
Away,PASS,PASS,1,6212,621.2,6237,623.7,B17,B15,0.53,0.19,0.54,0.76,1
Away,PASS,PASS,1,6244,624.4,6272,627.2,B15,B16,0.54,0.77,0.39,0.6,1
Away,PASS,PASS,1,6272,627.2,6295,629.5,B16,B17,0.39,0.6,0.4,0.28,1
Away,PASS,PASS,1,6334,633.4,6360,636.0,B17,B19,0.48,0.22,0.66,0.83,1
Home,CHALLENGE,AERIAL-LOST,1,6357,635.7,6357,635.7,A04,,0.67,0.82,,,1
Away,CHALLENGE,AERIAL-WON,1,6360,636.0,6360,636.0,B19,,0.66,0.83,,,1
Away,BALL LOST,HEAD-INTERCEPTION,1,6360,636.0,6377,637.7,B19,,0.66,0.83,0.75,0.7,1
Home,RECOVERY,INTERCEPTION,1,6376,637.6,6376,637.6,A03,,0.75,0.69,,,1
Home,PASS,HEAD,1,6376,637.6,6387,638.7,A03,A07,0.75,0.69,0.67,0.65,1
Home,PASS,PASS,1,6387,638.7,6400,640.0,A07,A04,0.67,0.65,0.69,0.87,1
Home,PASS,PASS,1,6400,640.0,6410,641.0,A04,A07,0.69,0.87,0.67,0.72,1
Away,RECOVERY,THEFT,1,6415,641.5,6415,641.5,B23,,0.68,0.76,,,1
Away,PASS,PASS,1,6415,641.5,6424,642.4,B23,B21,0.68,0.76,0.59,0.74,1
Home,BALL LOST,THEFT,1,6416,641.6,6416,641.6,A07,,0.67,0.73,,,1
Away,PASS,PASS,1,6445,644.5,6460,646.0,B21,B18,0.61,0.64,0.63,0.2,1
Away,BALL LOST,INTERCEPTION,1,6480,648.0,6482,648.2,B18,,0.74,0.18,0.77,0.2,1
Home,RECOVERY,INTERCEPTION,1,6482,648.2,6482,648.2,A05,,0.77,0.23,,,1
Home,BALL LOST,INTERCEPTION,1,6482,648.2,6505,650.5,A05,,0.77,0.23,0.63,0.34,1
Away,RECOVERY,INTERCEPTION,1,6502,650.2,6502,650.2,B20,,0.66,0.34,,,1
Away,BALL LOST,INTERCEPTION,1,6502,650.2,6506,650.6,B20,,0.66,0.34,0.61,0.34,1
Home,RECOVERY,INTERCEPTION,1,6507,650.7,6507,650.7,A09,,0.62,0.35,,,1
Home,PASS,PASS,1,6556,655.6,6574,657.4,A09,A10,0.37,0.49,0.18,0.33,1
Home,SHOT,ON TARGET-SAVED,1,6594,659.4,6600,660.0,A10,,0.11,0.33,0.04,0.49,1
